Cluster Index	Value	x	y	z	
1	17.1	72	114	103
1	17.1	77	130	48
1	17.1	179	46	106
1	17.1	30	150	27
1	17.1	7	20	180
1	17.1	129	191	100
1	17.1	67	176	54
1	17.1	125	31	181
1	17	173	4	67
1	17	35	178	114
1	17	50	52	33
1	17	68	105	110
1	17	172	45	137
1	17	69	71	24
1	17	59	134	110
1	17	152	101	44
1	17	106	157	77
1	17	104	123	85
1	17	179	69	137
1	17	169	142	70
1	17	8	35	110
1	17	107	128	59
1	17	8	40	181
1	17	36	109	176
1	17	41	101	26
1	17	120	96	140
1	17	110	13	58
1	17	157	20	74
1	17	69	60	50
1	17	46	52	76
1	17	163	116	96
1	17	141	86	145
1	17	144	147	113
1	17	102	41	149
1	17	5	133	166
1	17	62	143	68
1	17	7	132	13
1	17	180	4	71
1	17	114	98	145
1	17	69	151	17
1	17	4	64	75
1	17	171	125	12
1	17	9	115	48
1	17	32	148	25
1	17	24	67	167
1	17	119	50	158
1	17	53	123	168
1	17	46	13	82
1	17	101	124	72
1	17	144	82	90
1	17	92	5	113
1	17	46	166	124
1	17	59	47	53
1	17	12	192	149
1	17	53	136	183
1	17	78	94	191
1	17	152	43	58
1	17	28	187	118
1	17	180	99	70
1	17	109	94	177
1	17	5	68	116
1	17	43	70	18
1	17	149	96	56
1	17	167	107	137
1	17	123	172	58
1	17	180	53	74
1	17	11	138	114
1	17	12	115	59
1	17	141	124	54
1	17	145	109	37
1	17	33	95	153
1	17	137	141	156
1	17	151	138	102
1	17	11	129	94
1	17	188	27	184
1	17	78	171	46
1	17	120	82	53
1	17	179	65	6
1	17	55	135	44
1	17	25	9	61
1	17	68	87	41
1	17	189	76	163
1	17	184	108	139
1	17	108	96	121
1	17	127	97	91
1	17	66	52	168
1	17	86	81	71
1	16.9	190	62	54
1	16.9	59	188	161
1	16.9	157	66	129
1	16.9	159	51	145
1	16.9	87	118	17
1	16.9	125	139	30
1	16.9	118	90	71
1	16.9	11	162	159
1	16.9	192	12	82
1	16.9	98	183	173
1	16.9	35	108	139
1	16.9	129	18	15
1	16.9	167	3	62
1	16.9	44	109	102
1	16.9	184	108	164
1	16.9	159	40	195
1	16.9	62	188	180
1	16.9	168	45	15
1	16.9	117	140	121
1	16.9	125	12	13
1	16.9	53	127	20
1	16.9	37	116	6
1	16.9	189	7	44
1	16.9	72	114	31
1	16.9	13	22	59
1	16.9	148	5	36
1	16.9	151	8	25
1	16.9	173	160	48
1	16.9	144	47	99
1	16.9	139	78	73
1	16.9	60	96	22
1	16.9	194	176	176
1	16.9	64	139	7
1	16.9	46	50	43
1	16.9	123	24	176
1	16.9	100	65	8
1	16.9	70	177	127
1	16.9	189	22	78
1	16.9	8	108	152
1	16.9	158	64	99
1	16.9	24	146	38
1	16.9	73	167	32
1	16.9	41	65	33
1	16.9	142	130	81
1	16.9	30	152	26
1	16.9	71	166	111
1	16.9	77	146	79
1	16.9	27	181	170
1	16.9	91	154	92
1	16.9	196	140	43
1	16.9	53	38	141
1	16.9	105	81	62
1	16.9	138	48	56
1	16.9	100	155	164
1	16.9	30	97	146
1	16.9	102	60	188
1	16.9	104	6	114
1	16.9	145	17	149
1	16.9	15	178	167
1	16.9	60	12	12
1	16.9	125	9	167
1	16.9	130	142	170
1	16.9	64	41	123
1	16.9	188	64	90
1	16.9	164	48	107
1	16.9	3	113	26
1	16.9	192	94	14
1	16.9	187	192	149
1	16.9	174	8	18
1	16.9	145	175	37
1	16.9	91	29	20
1	16.8	183	97	52
1	16.8	89	60	87
1	16.8	28	107	97
1	16.8	109	164	191
1	16.8	181	3	90
1	16.8	146	121	84
1	16.8	190	168	173
1	16.8	189	31	195
1	16.8	77	141	86
1	16.8	194	168	23
1	16.8	96	190	163
1	16.8	164	59	17
1	16.8	98	177	121
1	16.8	83	31	164
1	16.8	116	132	54
1	16.8	5	14	185
1	16.8	187	57	122
1	16.8	98	60	66
1	16.8	77	172	149
1	16.8	44	70	125
1	16.8	112	113	19
1	16.8	24	6	77
1	16.8	131	163	121
1	16.8	141	68	54
1	16.8	140	86	149
1	16.8	95	105	86
1	16.8	39	124	70
1	16.8	152	24	54
1	16.8	192	130	189
1	16.8	60	82	66
1	16.8	108	182	17
1	16.8	54	67	105
1	16.8	25	165	72
1	16.8	65	94	88
1	16.8	195	196	53
1	16.8	52	55	29
1	16.8	106	152	67
1	16.8	95	132	99
1	16.8	177	48	95
1	16.8	110	7	35
1	16.8	171	145	166
1	16.8	130	81	192
1	16.8	35	85	187
1	16.8	108	93	179
1	16.8	16	122	14
1	16.8	49	159	121
1	16.8	42	143	167
1	16.8	179	75	92
1	16.8	185	91	132
1	16.8	104	24	4
1	16.8	82	160	194
1	16.8	86	170	81
1	16.8	85	118	14
1	16.8	94	72	10
1	16.8	80	60	103
1	16.8	151	44	171
1	16.8	30	51	12
1	16.8	176	169	41
1	16.8	83	128	16
1	16.8	44	133	180
1	16.8	82	29	77
1	16.7	3	166	19
1	16.7	51	66	110
1	16.7	172	121	65
1	16.7	86	53	16
1	16.7	19	72	154
1	16.7	170	82	131
1	16.7	7	67	125
1	16.7	103	8	141
1	16.7	55	71	154
1	16.7	41	127	105
1	16.7	181	119	36
1	16.7	186	132	83
1	16.7	189	18	26
1	16.7	8	36	178
1	16.7	90	71	98
1	16.7	191	10	137
1	16.7	152	4	169
1	16.7	115	119	7
1	16.7	100	179	64
1	16.7	165	58	97
1	16.7	185	161	143
1	16.7	43	126	145
1	16.7	23	195	64
1	16.7	146	14	194
1	16.7	64	71	175
1	16.7	71	182	66
1	16.7	148	6	100
1	16.7	67	6	195
1	16.7	120	127	61
1	16.7	193	147	138
1	16.7	62	195	131
1	16.7	185	34	167
1	16.7	176	176	110
1	16.7	98	124	71
1	16.7	186	26	176
1	16.7	126	56	142
1	16.7	97	67	124
1	16.7	56	84	143
1	16.7	56	71	156
1	16.7	87	73	173
1	16.7	177	167	163
1	16.7	119	193	48
1	16.7	93	159	151
1	16.7	178	92	134
1	16.7	166	103	162
1	16.7	48	168	37
1	16.7	141	151	60
1	16.7	24	191	67
1	16.7	89	37	33
1	16.7	99	194	117
1	16.7	4	98	178
1	16.7	30	12	172
1	16.7	108	98	35
1	16.7	88	115	44
1	16.7	27	96	127
1	16.7	70	76	145
1	16.7	192	144	156
1	16.7	95	78	122
1	16.7	78	163	180
1	16.7	166	124	96
1	16.7	183	123	149
1	16.7	21	50	148
1	16.7	101	29	49
1	16.7	173	146	192
1	16.7	109	34	20
1	16.6	45	80	122
1	16.6	118	180	101
1	16.6	12	74	99
1	16.6	159	122	80
1	16.6	47	51	30
1	16.6	88	95	78
1	16.6	90	56	111
1	16.6	16	172	62
1	16.6	67	136	5
1	16.6	179	147	21
1	16.6	22	141	18
1	16.6	168	151	4
1	16.6	85	65	123
1	16.6	99	184	73
1	16.6	102	107	168
1	16.6	97	106	61
1	16.6	160	18	98
1	16.6	5	191	112
1	16.6	140	91	96
1	16.6	151	17	65
1	16.6	59	125	160
1	16.6	154	196	93
1	16.6	192	146	50
1	16.6	166	130	137
1	16.6	108	74	75
1	16.6	174	109	72
1	16.6	53	189	26
1	16.6	8	44	131
1	16.6	107	58	115
1	16.6	77	95	99
1	16.6	21	56	99
1	16.6	99	13	172
1	16.6	8	48	191
1	16.6	94	182	93
1	16.6	65	72	99
1	16.6	151	196	137
1	16.6	84	35	152
1	16.6	83	160	64
1	16.6	153	140	27
1	16.6	61	72	87
1	16.6	186	95	110
1	16.6	129	183	130
1	16.6	177	82	164
1	16.6	135	72	85
1	16.6	113	93	11
1	16.6	170	107	133
1	16.6	182	88	100
1	16.6	184	23	174
1	16.6	127	31	180
1	16.6	80	148	189
1	16.6	82	102	134
1	16.6	18	49	83
1	16.6	91	123	167
1	16.6	19	175	25
1	16.6	66	101	103
1	16.6	179	154	44
1	16.6	138	20	109
1	16.6	40	86	123
1	16.6	147	169	161
1	16.6	194	46	46
1	16.6	10	124	153
1	16.6	172	51	87
1	16.6	7	113	5
1	16.6	15	83	12
1	16.6	56	131	65
1	16.6	42	138	87
1	16.6	30	39	28
1	16.6	67	56	132
1	16.6	172	123	160
1	16.6	36	182	172
